id	tweet	task
1	@BreitbartNews OK Shannon, YOU tell the veterans in those locker rooms they have to stay there until the celebration of what they fought for is over.	NOT
2	@LeftyGlenn @jaredeker @BookUniverse @hashtagzema @RalphLombardi @NathanHRubin Fine... Because i could afford a gun if i wanted to. I could fit it into my budget. My budgeting is fine??? Here in canada we have gun insurance and gun control? And lotsa p	NOT
3	Hot Mom Sucks Off Step Son In Shower 8 min https://t.co/Y0zi9f5z6J	OFF
4	bro these are some cute butt plugs I’m trying to cop https://t.co/RsnxRF4HTi	OFF
5	Arizona Supreme Court strikes down state legislation prohibiting medical marijuana use on public college c... https://t.co/f2PTckxYvP	NOT
6	Arguing gun control is wrong of me whoever has a strong opinion doesn’t really care about facts they have a emotional connection to the issue and its a waste of me to argue. When am I gonna learn that lol.	NOT
7	Doctors’ interest in medical marijuana far outpaces available research https://t.co/JLdEuhdyBG via @thecannifornian_com https://t.co/qJIgzq4HiD	NOT
8	"A must-read and a must-share for all your friends who support common sense"" gun control. https://t.co/hiCzzpbdjy"""	NOT
9	@Jo2timess Now that’s the dumbest shit I have ever heard in my life!!!LIKE WTF!!!!	OFF
10	Agreed! When all of this drama was unfolding agents I know said Comey had stacks of resignation letters piling up on his desk &amp; no one wanted to interact with him anymore. When he let Clinton off the hook there were agents throwing shit at their TV's! You are a disgrace @Comey https://t.co/rZFBlgEWBy	OFF
11	@NewYorker On the condition of self-reading after the completion of the marriage ceremony in the royal ship and the… https://t.co/67CptVIuYW	NOT
12	Surprise Vote in Congress Protects Medical Marijuana From Federal Interference https://t.co/qtKKklkdke via @wordpressdotcom	NOT
13	Nationwide support for gun control falls https://t.co/Q2ojIuFt7p https://t.co/BfWSSuFWMQ	NOT
14	@NOA2iCY ooooh i love pineapples. i’m hoping to find a piña colada in a pineapple	NOT
15	Columbia Care expands home delivery service to all patients in New York State. https://t.co/1tGLhpK98N	NOT
16	@BreitbartNews Stunning !!! Obama is everywhere	NOT
17	When John from the @cNationChannel asked our CEO, Morris Denton, how difficult it was to pass medical marijuana legislation in Texas, his answer might surprise you. Listen to this great interview on @TheKushJournals from the recent #MJBizConNEXT. https://t.co/LYAPK5JTWq	NOT
18	it was sexy when this girl told me it was impressive that i could type fast cuz i failed all the touch typing class… https://t.co/YuDED5Sfx9	NOT
19	@batsai @visiblecare I agree it is very unfortunate that they are starting off like this. Very bad press when starting something new means rough roads ahead	NOT
20	@cattunneycbc @pdmcleod yeah anyone who says that is a directive is full of shit.	OFF
21	Medical marijuana shops lack votes in Collier; commission puts off issue 6 months https://t.co/VvoLdPdQDl via @ndn	NOT
22	79 percent of people answered this correctly. Can you? https://t.co/wjSXbrNyR1	NOT
23	She’s right...he is pretty awesome! @Rockies ...don’t you agree?? https://t.co/fg729D20t2	NOT
24	@BreitbartNews Guess he can just mute them then	NOT
25	Support for gun control slips in new poll https://t.co/35XV5wVeOo	NOT
26	Cyrus is a sweet, affectionate boy who loves to be with his people. He is very smart and loves to go for walks. He is very picky about his doggie friends but is good with some. He is looking for a #foreverhomecome meet him or click here: https://t.co/fxX8Ntftvz #adoptme #ymm https://t.co/GEis4SqqTf	NOT
27	@hughhewitt @mishacollins What the hell...? What does that tweet have to do with gun control...? Maybe try to make your tweet have some sort of sense...	OFF
28	And not give a single fuck. https://t.co/b6vchAVYZl	OFF
29	Guess ima have to beat some lil kids asses today cause lil Becky not about to but my kid and get away with it https://t.co/RpRmn2tbAn	OFF
30	Prayer: Keep it simple Keep it honest Keep it going #Alpha #prayer	NOT
31	By looking at the month you were born, we will reveal which symbol best represents your soul, and what that symbol says about the kind of person that you are! https://t.co/dJiqfJvAi2	NOT
32	Does anyone know where @sarangkimKAI &amp; @LubzzC are??? Or what they are doing now?	NOT
33	@thehill Even if this is factual, the overwhelming majority of Americans support increased gun control.	NOT
34	Medical marijuana opponents, Lt. Governor don't oppose Utah Patients jumping into lawsuit https://t.co/KIBc9JW8cz	NOT
35	@BrittMcHenry @Hankdiggy Hmm. There was no such conduct in place for a peaceful protest until today. You wanna be Patriots kill me. You are ALL for bans on kneeling but when it comes to saving lives with gun control you are no longer patriots.	NOT
36	@kookpics @Aoba_Seradaddy Look at how smug he is after 😂😂😂	NOT
37	MustWeed: West Virginia Legislature May Revisit Medical Marijuana https://t.co/XrQuQoFZU7 https://t.co/bOVeBOl3yW	NOT
38	Arizona High Court to Rule on Whether Colleges Can Ban Medical Marijuana @mjdotc https://t.co/QrEOjz42bT #cannabiscommunitynews	NOT
39	"The @netflix series #Explained already has my interest. Love is a feeling, monogamy is a rule."""""	NOT
40	The U.S. is giving away the $30 billion medical marijuana industry. Why? Because the feds are bogarting the weed, while Israel and Canada are grabbing market share, @joshdean66 reports #tictocnews https://t.co/6e9AucRSCR https://t.co/ohMYVS39hT	NOT
41	When the government refers to medical marijuana farm in a state where its decriminalized as “organized crime”. Nice waste of millions of tax dollars America, can we focus on actual drug problems now?	NOT
42	@beefcakesteve same here, they are all so sweet, I love them	NOT
43	Medical marijuana opponents, Lt. Governor don't oppose Utah Patients jumping into lawsuit https://t.co/MoXKzc6cNt	NOT
44	@NewYorker Get over it. The weddings over.	NOT
45	BUSTED!!! Kemi Olunloyo Replies Linda Ikeji… Expose Photos Of The MOONBUMP She Is Wearing [See Photos]… https://t.co/DgVvxmMObC	NOT
46	🍺🍿ready!! https://t.co/clD7tbC0z5	NOT
47	@SpeakerRyan Does that include medical marijuana in states its not legal yet?	NOT
48	Most oncologists have discussed the use of medical #marijuana with their patients, a new study finds. https://t.co/n2nHbak8hC https://t.co/r9n3TI47wu	NOT
